category_id,image_path,technique_used,ground_truth,human_guess,notes
61,61_0.jpg,misaligned feature,candle,"Candle, Candle, Candle, Candle",
61,61_1.jpg,suggestive gesture,rubik's cube,Cube,
61,61_2.jpg,"implied scene, extraneous lines",soccer ball,"Foo tboll, Football, Football",
61,61_3.jpg,overwriting motion,glasses,Glasses,
61,61_4.jpg,"misaligned feature, extraneous lines",bicycle,"Bicycle, Bicycle",
61,61_5.jpg,overwriting motion,hammer,Hammer,
61,61_6.jpg,overwriting motion,car,"Car, Car, Car, Car",
61,61_7.jpg,invalid test result,boat,"Boat, Boat , Boat",
61,61_8.jpg,invalid test result,boat,"Boat, Boat, Boat",
61,61_9.jpg,invalid test result,bus,"Bus, Bus",
59,59_0.jpg,"misaligned feature, extraneous lines",island,"Island, Island, Island, Island",
59,59_1.jpg,"implied scene, culturally grounded symbol",bank,"Bank, Bank",they use among use character to simulate a bank i think. uses SGD on top which is singapore dollars. a ton of money or seemily dollar bills flying around which takes imiplied scene. 
59,59_2.jpg,"misaligned feature, odd perspective",bowling alley,"Bowling alley,     Bowling alley",
59,59_3.jpg,misaligned feature,house,"House , House, House",
59,59_4.jpg,invalid test result,pet shop,"Pet shop, Pet shop",
59,59_5.jpg,implied depth,cave,Cave,rectangles inside each other show the depth of the cave
59,59_6.jpg,invalid test result,post office,Post office,
59,59_7.jpg,culturally grounded symbol,pharmacy,Phrmacy,guardian is a popular pharmacy in singapore so culturally relevant
59,59_8.jpg,culturally grounded symbol,pharmacy,Pharmacy,unity is a popular pharmacy in singapore so culturally relevant
59,59_9.jpg,"suggestive gesture, extraneous lines, odd perspective",train station,Train station,
66,66_0.jpg,culturally grounded symbol,Nazca Lines,Nazca,
66,66_1.jpg,culturally grounded symbol,Marina Bay Sands,Marina bay sands,
66,66_2.jpg,"minimalist abstraction, culturally grounded symbol",Marina Bay Sands,Mbs,
66,66_3.jpg,"misaligned feature, culturally grounded symbol",Marina Bay Sands,Marina bay sands,
68,68_0.jpg,overwriting motion,New years Day,New years day,
68,68_1.jpg,implied scene,Fathers day,"Father’s day, Father’s day",
68,68_2.jpg,"minimalist abstraction, culturally grounded symbol",Chinese New Year,Chinese new year,"春联 , represents the scrolls"
68,68_3.jpg,culturally grounded symbol,Chinese New Year,Chinese new year,red envelope
68,68_4.jpg,written language,April Fools,April fools,"""scamming look"" text written"
68,68_5.jpg,"extraneous lines, suggestive gesture",Hanukkah,"Hanukkah, Hanukkah",
68,68_6.jpg,culturally grounded symbol,Hanukkah,"Hanukkah, Hanukkah",hasidic man
68,68_7.jpg,overwriting motion,History,HiStory,
68,68_8.jpg,invalid test result,Monarchy,Monarchy,
68,68_9.jpg,minimalist abstraction,Thanksgiving,"Thanksgi , Thanksgiving, Thaksgiv ",
57,57_0.jpg,overwriting motion,nun,"Nun, Nun",
57,57_1.jpg,"misaligned feature, minimalist abstraction",florist,FLORIST,
57,57_2.jpg,extraneous lines,blacksmith,Blacksmith,
57,57_3.jpg,"written language, extraneous lines, misaligned feature",chef,"Chef, Chef",
57,57_4.jpg,misaligned feature,journalist,Journalist,
57,57_5.jpg,"extraneous lines, misaligned feature",pirate,Pirate,
57,57_6.jpg,"implied scene, extraneous lines, misaligned feature",pirate,"Pirate, Pirate",
57,57_7.jpg,"suggestive gesture, misaligned feature",magician,Magician,
57,57_8.jpg,overwriting motion,magician,Magi,
57,57_9.jpg,"overwriting motion, extraneous lines, written language",blacksmith,"Blacksmith, Blacksmith",
69,69_0.jpg,zoomed in texture,asteroid,Astroid,
69,69_1.jpg,minimalist abstraction,big bang,Bigbang,
69,69_2.jpg,misaligned feature,DNA,"Dna, Dna, Dna",
69,69_3.jpg,minimalist abstraction,thermometer,Thermometer,
69,69_4.jpg,invalid test result,parabolic antenna,"Parablic , Parabolic an, Parabolic ann, Parabolic ",
69,69_5.jpg,overwriting motion,moon,Moon,
69,69_6.jpg,minimalist abstraction,wifi,"Wifi, Wifi",
69,69_7.jpg,overwriting motion,laser,"Laser, Laser",
69,69_8.jpg,overwriting motion,telescope,"Telescope, Telescope",
69,69_9.jpg,invalid test result,telescope,"Telescope, Telecope, Telescope",
56,56_0.jpg,suggestive gesture,kicking,Kicking,
56,56_1.jpg,minimalist abstraction,bowling,"Bowling, Bowling",
56,56_2.jpg,suggestive gesture,jumping,"Jumping, Jump ",
56,56_3.jpg,suggestive gesture,jumping,Jumping,
56,56_4.jpg,overwriting motion,throwing,"Throw, Throw",
56,56_5.jpg,"misaligned feature, suggestive gesture",clapping,"Clapping, Clapping",hands are huge
56,56_6.jpg,overwriting motion,juggling,Juggling,
56,56_7.jpg,"misaligned feature, extraneous lines",skydiving,"Parachutinh , Skydiving, Skydiving",
56,56_8.jpg,invalid test result,stealing,Dtealing,
56,56_9.jpg,invalid test result,cutting,"Cutting, Cutting",
58,58_0.jpg,overwriting motion,Anger,Anger,
58,58_1.jpg,"written language, suggestive gesture",Language,Language,
58,58_2.jpg,"implied scene, written language",Economy,"Economy, Economy, Economy",
58,58_3.jpg,overwriting motion,Time,Time,
58,58_4.jpg,suggestive gesture,Love,Love,
67,67_0.jpg,"suggestive gesture, minimalist abstraction",Basketball," Basketball, Basketball, Basketball, Basketball",
67,67_1.jpg,overwriting motion,Surfing,"Surfing, Surfing",
67,67_2.jpg,"misaligned feature, zoomed in texture",Basketball,Basketball,
67,67_3.jpg,invalid test result,Handball,"Handball, Handball",
67,67_4.jpg,"minimalist abstraction, extraneous lines, suggestive gesture",Soccer,"Football, Football, Soccer",
67,67_5.jpg,invalid test result,Soccer,"Soccer, Soccer, Football",
67,67_6.jpg,"culturally grounded symbol, extraneous lines, suggestive gesture",Judo,"Judo, Judo",
67,67_7.jpg,invalid test result,Judo,"Judo, Judo",
67,67_8.jpg,"minimalist abstraction, suggestive gesture",Soccer,"Soccer, Soccer, Soccer",
67,67_9.jpg,"suggestive gesture, extraneous lines, culturally grounded symbol",Karate,"Kara , Kara ",
60,60_0.jpg,extraneous lines,taco,"Taco, Taco",
60,60_1.jpg,"culturally grounded symbol, extraneous lines, odd perspective",sandwich,Sandwich,
60,60_2.jpg,minimalist abstraction,pretzel,"Pret, Pret",
60,60_3.jpg,overwriting motion,blueberry,"BLUEBERRY , Blueberry, Blueberry, Blueberry ",
60,60_4.jpg,"overwriting motion, minimalist abstraction, odd perspective",tofu,Tofu,birds eye view of tofu
60,60_5.jpg,minimalist abstraction,cake,Cake,
60,60_6.jpg,object decomposition,melon,Melon,
60,60_7.jpg,unsure,water,Water,
60,60_8.jpg,"stacked ambiguity, implied scene",french fries,French fry,
60,60_9.jpg,"culturally grounded symbol, written language, extraneous lines",matcha tea,Matcha tea,matcha wisk... culturally relevant with wider matcha bowl
72,72_0.jpg,overwriting motion,Jaws,"Jaws, Jaws, Jaws",
72,72_1.jpg,"minimalist abstraction, misaligned feature",The Lion King,"Lion king, The lion king",
72,72_2.jpg,invalid test result,Home Alone,Home alone,
72,72_3.jpg,invalid test result,Kung Fu Panda,"Kung fu panda, Kung fu panda",
72,72_4.jpg,minimalist abstraction,Minions,"Minions, Minions, Minions",
72,72_5.jpg,invalid test result,Star Wars,Star wars,
72,72_6.jpg,invalid test result,Star Wars,Star wars,
72,72_7.jpg,minimalist abstraction,Toy Story,"Toy story, Toy story",bo peep
72,72_8.jpg,invalid test result,Iron Man,Iron Man,
72,72_9.jpg,invalid test result,Aladdin,Aladdin,
65,65_0.jpg,overwriting motion,United Kingdom,"United kingdom, United kingdom, United kingdom, United Kingdom ",
65,65_1.jpg,"minimalist abstraction, written language",Indonesia,Indonesia,
65,65_2.jpg,"misaligned feature, culturally grounded symbol",Switzerland,"Switerland, Switzerland",
65,65_3.jpg,written language,Vietnam,Vietnam,
65,65_4.jpg,invalid test result,Argentina,Argentina,
65,65_5.jpg,"zoomed in texture, misaligned feature",Denmark,Denmark,overlapping lines centered instead of on the left
65,65_6.jpg,invalid test result,Jamaica,Jamaica,
65,65_7.jpg,overwriting motion,Vietnam,"Vieatnam, Vietnam, Vietnam, Vietnam",
65,65_8.jpg,invalid test result,Kenya,"Kenya, Kenya, Kenya",
65,65_9.jpg,"culturally grounded symbol, misaligned feature, extraneous lines",Denmark,Denmark,
55,55_0.jpg,extraneous lines,giraffe,Giraf fe,
55,55_1.jpg,"minimalist abstraction, extraneous lines",pufferfish,"Pufferfish, Pufferfish",
55,55_2.jpg,invalid test result,frog,Frog,
55,55_3.jpg,misaligned feature,elephant,"Elphant , Elephant",
55,55_4.jpg,"extraneous lines, stacked ambiguity",chicken,"Chicken, Chicken",
55,55_5.jpg,invalid test result,pig,Pig,
55,55_6.jpg,invalid test result,dolphin,Dolphin,
55,55_7.jpg,"minimalist abstraction, overwriting motion",snail,Snail,
55,55_8.jpg,"minimalist abstraction, misaligned feature, implied scene",sloth,"Sloth, Sloth",
55,55_9.jpg,overwriting motion,snail,"Snail, Snail",
64,64_0.jpg,invalid test result,Subway,Subway,
64,64_1.jpg,"misaligned feature, extraneous lines",Starbucks,"Starbucks, Starbucks",
64,64_2.jpg,invalid test result,Heinz,"Heinz, Heinz, Heinz",
64,64_3.jpg,minimalist abstraction,7-Eleven,"7 eleven, 7-11, 7 Eleven",
64,64_4.jpg,invalid test result,7-Eleven,"7-11, 7 eleven, 7 eleven",
64,64_5.jpg,invalid test result,Haribo,"Haribo, Haribo, Haribo",
64,64_6.jpg,"minimalist abstraction, implied scene",KFC,"Kfc, Kfc, Kfc, Kfc",
64,64_7.jpg,"implied scene, minimalist abstraction",Tropicana,"Tropicana, Tropicana",
64,64_8.jpg,"misaligned feature, extraneous lines",Pizza Hut,"Pizza, Pizzahut, Pizza hut, Pizza",
64,64_9.jpg,invalid test result,Starbucks,Starbucks,
70,70_0.jpg,"minimalist abstraction, misaligned feature",M.C. Escher,M.c.escher,Similar to MC Escher dragon piece
71,71_0.jpg,"minimalist abstraction, suggestive gesture",Splatoon,splatoon,
71,71_1.jpg,minimalist abstraction,Mega Man,Megaman,
71,71_2.jpg,invalid test result,Pong,"Pong, Pong",
71,71_3.jpg,"minimalist abstraction, overwriting motion, written language",Angry Birds,"Angrybirds, Angrybirds",
71,71_4.jpg,"minimalist abstraction, extraneous lines",Guitar Hero,Guitar,
71,71_5.jpg,"minimalist abstraction, stacked ambiguity",Rocket League,"Rocket league, Rocket league",
71,71_6.jpg,overwriting motion,Space Invaders,"Space invaders, Apace invaDers",lunar invaders desolate hope
71,71_7.jpg,zoomed in texture,Candy Crush Saga,"Candy, Candy, Candy crush, Candy",
71,71_8.jpg,minimalist abstraction,Fortnite,Fortnite,
71,71_9.jpg,minimalist abstraction,Super Mario Bros.,"Super mario, Supermario, Supermario, Super mario",item box